template_code,period_type,stress_level_hint,dominant_factor_hint,original_insight_text,revised_insight_text,revision_method,mapping_note
DAILY_SEDANG_ACADEMIC_PRESSURE_SLEEP_DEFICIT,daily,sedang,Academic Pressure + Sleep Deficit,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Sleep Deficit.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tekanan akademik dan defisit tidur. Perlu diperhatikan pengelolaan beban belajar dan prioritas tugas dan perbaikan durasi dan kualitas tidur agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_ACADEMIC_PRESSURE,daily,sedang,Academic Pressure,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tekanan akademik. Perlu diperhatikan pengelolaan beban belajar dan prioritas tugas agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_FINANCIAL_WORRY_HEALTH_ISSUE,daily,sedang,Financial Worry + Health Issue,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Financial Worry + Health Issue.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan kekhawatiran finansial dan kondisi kesehatan. Perlu diperhatikan pengelolaan sumber tekanan finansial dan pemantauan kondisi kesehatan dan waktu pemulihan agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_FINANCIAL_WORRY_HIGH_CAFFEINE_INTAKE,daily,sedang,Financial Worry + High Caffeine Intake,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Financial Worry + High Caffeine Intake.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan kekhawatiran finansial dan konsumsi kafein tinggi. Perlu diperhatikan pengelolaan sumber tekanan finansial dan pengendalian konsumsi kafein dan kualitas istirahat agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_FINANCIAL_WORRY_HIGH_SCREEN_TIME,daily,sedang,Financial Worry + High Screen Time,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Financial Worry + High Screen Time.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan kekhawatiran finansial dan durasi screen time tinggi. Perlu diperhatikan pengelolaan sumber tekanan finansial dan pengurangan durasi screen time dan jeda aktivitas digital agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_FINANCIAL_WORRY_LOW_PHYSICAL_ACTIVITY,daily,sedang,Financial Worry + Low Physical Activity,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Financial Worry + Low Physical Activity.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan kekhawatiran finansial dan aktivitas fisik rendah. Perlu diperhatikan pengelolaan sumber tekanan finansial dan peningkatan aktivitas fisik ringan secara bertahap agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_FINANCIAL_WORRY,daily,sedang,Financial Worry,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Financial Worry.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan kekhawatiran finansial. Perlu diperhatikan pengelolaan sumber tekanan finansial agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HEALTH_ISSUE_HIGH_CAFFEINE_INTAKE,daily,sedang,Health Issue + High Caffeine Intake,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Health Issue + High Caffeine Intake.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan kondisi kesehatan dan konsumsi kafein tinggi. Perlu diperhatikan pemantauan kondisi kesehatan dan waktu pemulihan dan pengendalian konsumsi kafein dan kualitas istirahat agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HEALTH_ISSUE_LOW_PHYSICAL_ACTIVITY,daily,sedang,Health Issue + Low Physical Activity,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Health Issue + Low Physical Activity.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan kondisi kesehatan dan aktivitas fisik rendah. Perlu diperhatikan pemantauan kondisi kesehatan dan waktu pemulihan dan peningkatan aktivitas fisik ringan secara bertahap agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HEALTH_ISSUE,daily,sedang,Health Issue,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Health Issue.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan kondisi kesehatan. Perlu diperhatikan pemantauan kondisi kesehatan dan waktu pemulihan agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_CAFFEINE_INTAKE_LOW_PHYSICAL_ACTIVITY,daily,sedang,High Caffeine Intake + Low Physical Activity,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Caffeine Intake + Low Physical Activity.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan konsumsi kafein tinggi dan aktivitas fisik rendah. Perlu diperhatikan pengendalian konsumsi kafein dan kualitas istirahat dan peningkatan aktivitas fisik ringan secara bertahap agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_CAFFEINE_INTAKE,daily,sedang,High Caffeine Intake,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Caffeine Intake.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan konsumsi kafein tinggi. Perlu diperhatikan pengendalian konsumsi kafein dan kualitas istirahat agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_FATIGUE_ACADEMIC_PRESSURE,daily,sedang,High Fatigue + Academic Pressure,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Fatigue + Academic Pressure.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tingkat kelelahan tinggi dan tekanan akademik. Perlu diperhatikan peningkatan waktu istirahat dan pemulihan energi dan pengelolaan beban belajar dan prioritas tugas agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_FATIGUE_FINANCIAL_WORRY,daily,sedang,High Fatigue + Financial Worry,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Fatigue + Financial Worry.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tingkat kelelahan tinggi dan kekhawatiran finansial. Perlu diperhatikan peningkatan waktu istirahat dan pemulihan energi dan pengelolaan sumber tekanan finansial agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_FATIGUE_HEALTH_ISSUE,daily,sedang,High Fatigue + Health Issue,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Fatigue + Health Issue.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tingkat kelelahan tinggi dan kondisi kesehatan. Perlu diperhatikan peningkatan waktu istirahat dan pemulihan energi dan pemantauan kondisi kesehatan dan waktu pemulihan agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_FATIGUE_HIGH_CAFFEINE_INTAKE,daily,sedang,High Fatigue + High Caffeine Intake,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Fatigue + High Caffeine Intake.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tingkat kelelahan tinggi dan konsumsi kafein tinggi. Perlu diperhatikan peningkatan waktu istirahat dan pemulihan energi dan pengendalian konsumsi kafein dan kualitas istirahat agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_FATIGUE_HIGH_SCREEN_TIME,daily,sedang,High Fatigue + High Screen Time,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Fatigue + High Screen Time.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tingkat kelelahan tinggi dan durasi screen time tinggi. Perlu diperhatikan peningkatan waktu istirahat dan pemulihan energi dan pengurangan durasi screen time dan jeda aktivitas digital agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_FATIGUE_LOW_MOOD,daily,sedang,High Fatigue + Low Mood,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Fatigue + Low Mood.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tingkat kelelahan tinggi dan penurunan mood. Perlu diperhatikan peningkatan waktu istirahat dan pemulihan energi dan pemulihan emosi dan aktivitas penyeimbang mood agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_FATIGUE_LOW_PHYSICAL_ACTIVITY,daily,sedang,High Fatigue + Low Physical Activity,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Fatigue + Low Physical Activity.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tingkat kelelahan tinggi dan aktivitas fisik rendah. Perlu diperhatikan peningkatan waktu istirahat dan pemulihan energi dan peningkatan aktivitas fisik ringan secara bertahap agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_FATIGUE_SLEEP_DEFICIT,daily,sedang,High Fatigue + Sleep Deficit,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Fatigue + Sleep Deficit.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tingkat kelelahan tinggi dan defisit tidur. Perlu diperhatikan peningkatan waktu istirahat dan pemulihan energi dan perbaikan durasi dan kualitas tidur agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_FATIGUE,daily,sedang,High Fatigue,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Fatigue.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan tingkat kelelahan tinggi. Perlu diperhatikan peningkatan waktu istirahat dan pemulihan energi agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_SCREEN_TIME_FINANCIAL_WORRY,daily,sedang,High Screen Time + Financial Worry,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Screen Time + Financial Worry.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan durasi screen time tinggi dan kekhawatiran finansial. Perlu diperhatikan pengurangan durasi screen time dan jeda aktivitas digital dan pengelolaan sumber tekanan finansial agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_SCREEN_TIME_HEALTH_ISSUE,daily,sedang,High Screen Time + Health Issue,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Screen Time + Health Issue.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan durasi screen time tinggi dan kondisi kesehatan. Perlu diperhatikan pengurangan durasi screen time dan jeda aktivitas digital dan pemantauan kondisi kesehatan dan waktu pemulihan agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_SCREEN_TIME_HIGH_CAFFEINE_INTAKE,daily,sedang,High Screen Time + High Caffeine Intake,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Screen Time + High Caffeine Intake.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan durasi screen time tinggi dan konsumsi kafein tinggi. Perlu diperhatikan pengurangan durasi screen time dan jeda aktivitas digital dan pengendalian konsumsi kafein dan kualitas istirahat agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_SCREEN_TIME_LOW_PHYSICAL_ACTIVITY,daily,sedang,High Screen Time + Low Physical Activity,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Screen Time + Low Physical Activity.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan durasi screen time tinggi dan aktivitas fisik rendah. Perlu diperhatikan pengurangan durasi screen time dan jeda aktivitas digital dan peningkatan aktivitas fisik ringan secara bertahap agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_HIGH_SCREEN_TIME,daily,sedang,High Screen Time,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Screen Time.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan durasi screen time tinggi. Perlu diperhatikan pengurangan durasi screen time dan jeda aktivitas digital agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_LOW_MOOD_FINANCIAL_WORRY,daily,sedang,Low Mood + Financial Worry,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + Financial Worry.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan penurunan mood dan kekhawatiran finansial. Perlu diperhatikan pemulihan emosi dan aktivitas penyeimbang mood dan pengelolaan sumber tekanan finansial agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_LOW_MOOD_HEALTH_ISSUE,daily,sedang,Low Mood + Health Issue,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + Health Issue.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan penurunan mood dan kondisi kesehatan. Perlu diperhatikan pemulihan emosi dan aktivitas penyeimbang mood dan pemantauan kondisi kesehatan dan waktu pemulihan agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_LOW_MOOD_HIGH_CAFFEINE_INTAKE,daily,sedang,Low Mood + High Caffeine Intake,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + High Caffeine Intake.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan penurunan mood dan konsumsi kafein tinggi. Perlu diperhatikan pemulihan emosi dan aktivitas penyeimbang mood dan pengendalian konsumsi kafein dan kualitas istirahat agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_LOW_MOOD_HIGH_FATIGUE,daily,sedang,Low Mood + High Fatigue,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + High Fatigue.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan penurunan mood dan tingkat kelelahan tinggi. Perlu diperhatikan pemulihan emosi dan aktivitas penyeimbang mood dan peningkatan waktu istirahat dan pemulihan energi agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_LOW_MOOD_HIGH_SCREEN_TIME,daily,sedang,Low Mood + High Screen Time,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + High Screen Time.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan penurunan mood dan durasi screen time tinggi. Perlu diperhatikan pemulihan emosi dan aktivitas penyeimbang mood dan pengurangan durasi screen time dan jeda aktivitas digital agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_LOW_MOOD_LOW_PHYSICAL_ACTIVITY,daily,sedang,Low Mood + Low Physical Activity,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + Low Physical Activity.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan penurunan mood dan aktivitas fisik rendah. Perlu diperhatikan pemulihan emosi dan aktivitas penyeimbang mood dan peningkatan aktivitas fisik ringan secara bertahap agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_LOW_MOOD_SLEEP_DEFICIT,daily,sedang,Low Mood + Sleep Deficit,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + Sleep Deficit.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan penurunan mood dan defisit tidur. Perlu diperhatikan pemulihan emosi dan aktivitas penyeimbang mood dan perbaikan durasi dan kualitas tidur agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_LOW_MOOD,daily,sedang,Low Mood,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan penurunan mood. Perlu diperhatikan pemulihan emosi dan aktivitas penyeimbang mood agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_LOW_PHYSICAL_ACTIVITY,daily,sedang,Low Physical Activity,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Physical Activity.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan aktivitas fisik rendah. Perlu diperhatikan peningkatan aktivitas fisik ringan secara bertahap agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_SLEEP_DEFICIT_FINANCIAL_WORRY,daily,sedang,Sleep Deficit + Financial Worry,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Sleep Deficit + Financial Worry.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan defisit tidur dan kekhawatiran finansial. Perlu diperhatikan perbaikan durasi dan kualitas tidur dan pengelolaan sumber tekanan finansial agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_SLEEP_DEFICIT_HEALTH_ISSUE,daily,sedang,Sleep Deficit + Health Issue,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Sleep Deficit + Health Issue.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan defisit tidur dan kondisi kesehatan. Perlu diperhatikan perbaikan durasi dan kualitas tidur dan pemantauan kondisi kesehatan dan waktu pemulihan agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_SLEEP_DEFICIT_HIGH_CAFFEINE_INTAKE,daily,sedang,Sleep Deficit + High Caffeine Intake,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Sleep Deficit + High Caffeine Intake.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan defisit tidur dan konsumsi kafein tinggi. Perlu diperhatikan perbaikan durasi dan kualitas tidur dan pengendalian konsumsi kafein dan kualitas istirahat agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_SLEEP_DEFICIT_HIGH_SCREEN_TIME,daily,sedang,Sleep Deficit + High Screen Time,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Sleep Deficit + High Screen Time.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan defisit tidur dan durasi screen time tinggi. Perlu diperhatikan perbaikan durasi dan kualitas tidur dan pengurangan durasi screen time dan jeda aktivitas digital agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_SLEEP_DEFICIT_LOW_MOOD,daily,sedang,Sleep Deficit + Low Mood,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Sleep Deficit + Low Mood.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan defisit tidur dan penurunan mood. Perlu diperhatikan perbaikan durasi dan kualitas tidur dan pemulihan emosi dan aktivitas penyeimbang mood agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_SLEEP_DEFICIT_LOW_PHYSICAL_ACTIVITY,daily,sedang,Sleep Deficit + Low Physical Activity,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Sleep Deficit + Low Physical Activity.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan defisit tidur dan aktivitas fisik rendah. Perlu diperhatikan perbaikan durasi dan kualitas tidur dan peningkatan aktivitas fisik ringan secara bertahap agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_SLEEP_DEFICIT,daily,sedang,Sleep Deficit,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Sleep Deficit.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan defisit tidur. Perlu diperhatikan perbaikan durasi dan kualitas tidur agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
DAILY_SEDANG_STABLE_ROUTINE,daily,sedang,Stable Routine,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Stable Routine.,Tingkat stres hari ini berada pada kategori sedang. Kondisi ini berkaitan dengan rutinitas yang relatif stabil. Perlu diperhatikan pemeliharaan pola aktivitas harian yang konsisten agar tekanan harian tidak berkembang menjadi lebih berat.,deterministic_template_mapping_v1,Template formal tanpa subjek personal langsung.
